DATE,T5YIE
5/7/2018,2.11
5/8/2018,2.1
5/9/2018,2.13
5/10/2018,2.12
5/11/2018,2.13
5/14/2018,2.12
5/15/2018,2.15
5/16/2018,2.16
5/17/2018,2.16
5/18/2018,2.14
5/21/2018,2.15
5/22/2018,2.13
5/23/2018,2.12
5/24/2018,2.11
5/25/2018,2.04
5/28/2018,
5/29/2018,1.98
5/30/2018,2
5/31/2018,2.03
6/1/2018,2.06
6/4/2018,2.06
6/5/2018,2.05
6/6/2018,2.06
6/7/2018,2.08
6/8/2018,2.06
6/11/2018,2.08
6/12/2018,2.07
6/13/2018,2.09
6/14/2018,2.07
6/15/2018,2.08
6/18/2018,2.08
6/19/2018,2.07
6/20/2018,2.06
6/21/2018,2.05
6/22/2018,2.07
6/25/2018,2.06
6/26/2018,2.07
6/27/2018,2.07
6/28/2018,2.07
6/29/2018,2.06
7/2/2018,2.07
7/3/2018,2.08
7/4/2018,
7/5/2018,2.1
7/6/2018,2.08
7/9/2018,2.1
7/10/2018,2.09
7/11/2018,2.07
7/12/2018,2.06
7/13/2018,2.07
7/16/2018,2.05
7/17/2018,2.03
7/18/2018,2.03
7/19/2018,2.01
7/20/2018,2.02
7/23/2018,2.01
7/24/2018,2
7/25/2018,2.01
7/26/2018,2
7/27/2018,2
7/30/2018,2.01
7/31/2018,2
8/1/2018,2
8/2/2018,1.99
8/3/2018,2
8/6/2018,1.98
8/7/2018,2
8/8/2018,1.98
8/9/2018,1.97
8/10/2018,1.98
8/13/2018,1.99
8/14/2018,1.99
8/15/2018,1.97
8/16/2018,1.97
8/17/2018,1.96
8/20/2018,1.95
8/21/2018,1.97
8/22/2018,1.96
8/23/2018,1.99
8/24/2018,1.99
8/27/2018,2
8/28/2018,1.99
8/29/2018,2
8/30/2018,1.99
8/31/2018,1.98
9/3/2018,
9/4/2018,1.99
9/5/2018,1.98
9/6/2018,1.97
9/7/2018,1.98
9/10/2018,1.98
9/11/2018,2.01
9/12/2018,2.02
9/13/2018,1.98
9/14/2018,2
9/17/2018,1.99
9/18/2018,2.01
9/19/2018,2.02
9/20/2018,2.02
9/21/2018,2.02
9/24/2018,2.03
9/25/2018,2.05
9/26/2018,2.04
9/27/2018,2.04
9/28/2018,2.03
10/1/2018,2.04
10/2/2018,2.03
10/3/2018,2.07
10/4/2018,2.06
10/5/2018,2.05
10/8/2018,
10/9/2018,2.05
10/10/2018,2.04
10/11/2018,1.99
10/12/2018,1.99
10/15/2018,2
10/16/2018,2.01
10/17/2018,2
10/18/2018,1.99
10/19/2018,1.98
10/22/2018,1.98
10/23/2018,1.94
10/24/2018,1.93
10/25/2018,1.91
10/26/2018,1.93
10/29/2018,1.92
10/30/2018,1.91
10/31/2018,1.9
11/1/2018,1.88
11/2/2018,1.91
11/5/2018,1.91
11/6/2018,1.92
11/7/2018,1.93
11/8/2018,1.92
11/9/2018,1.9
11/12/2018,
11/13/2018,1.88
11/14/2018,1.85
11/15/2018,1.85
11/16/2018,1.88
11/19/2018,1.85
11/20/2018,1.82
11/21/2018,1.81
11/22/2018,
11/23/2018,1.77
11/26/2018,1.78
11/27/2018,1.73
11/28/2018,1.74
11/29/2018,1.79
11/30/2018,1.77
12/3/2018,1.76
12/4/2018,1.74
12/5/2018,
12/6/2018,1.69
12/7/2018,1.68
12/10/2018,1.65
12/11/2018,1.62
12/12/2018,1.62
12/13/2018,1.62
12/14/2018,1.6
12/17/2018,1.58
12/18/2018,1.58
12/19/2018,1.56
12/20/2018,1.53
12/21/2018,1.55
12/24/2018,1.52
12/25/2018,
12/26/2018,1.57
12/27/2018,1.53
12/28/2018,1.52
12/31/2018,1.51
1/1/2019,
1/2/2019,1.49
1/3/2019,1.49
1/4/2019,1.58
1/7/2019,1.61
1/8/2019,1.66
1/9/2019,1.68
1/10/2019,1.65
1/11/2019,1.66
1/14/2019,1.64
1/15/2019,1.63
1/16/2019,1.64
1/17/2019,1.64
1/18/2019,1.67
1/21/2019,
1/22/2019,1.63
1/23/2019,1.64
1/24/2019,1.62
1/25/2019,1.64
1/28/2019,1.62
1/29/2019,1.62
1/30/2019,1.68
1/31/2019,1.7
2/1/2019,1.72
2/4/2019,1.72
2/5/2019,1.72
2/6/2019,1.71
2/7/2019,1.69
2/8/2019,1.69
2/11/2019,1.69
2/12/2019,1.71
2/13/2019,1.76
2/14/2019,1.74
2/15/2019,1.75
2/18/2019,
2/19/2019,1.76
2/20/2019,1.79
2/21/2019,1.8
2/22/2019,1.82
2/25/2019,1.82
2/26/2019,1.82
2/27/2019,1.84
