DATE,DJIA
5/7/2018,24357.32
5/8/2018,24360.21
5/9/2018,24542.54
5/10/2018,24739.53
5/11/2018,24831.17
5/14/2018,24899.41
5/15/2018,24706.41
5/16/2018,24768.93
5/17/2018,24713.98
5/18/2018,24715.09
5/21/2018,25013.29
5/22/2018,24834.41
5/23/2018,24886.81
5/24/2018,24811.76
5/25/2018,24753.09
5/28/2018,
5/29/2018,24361.45
5/30/2018,24667.78
5/31/2018,24415.84
6/1/2018,24635.21
6/4/2018,24813.69
6/5/2018,24799.98
6/6/2018,25146.39
6/7/2018,25241.41
6/8/2018,25316.53
6/11/2018,25322.31
6/12/2018,25320.73
6/13/2018,25201.20
6/14/2018,25175.31
6/15/2018,25090.48
6/18/2018,24987.47
6/19/2018,24700.21
6/20/2018,24657.80
6/21/2018,24461.70
6/22/2018,24580.89
6/25/2018,24252.80
6/26/2018,24283.11
6/27/2018,24117.59
6/28/2018,24216.05
6/29/2018,24271.41
7/2/2018,24307.18
7/3/2018,24174.82
7/4/2018,
7/5/2018,24356.74
7/6/2018,24456.48
7/9/2018,24776.59
7/10/2018,24919.66
7/11/2018,24700.45
7/12/2018,24924.89
7/13/2018,25019.41
7/16/2018,25064.36
7/17/2018,25119.89
7/18/2018,25199.29
7/19/2018,25064.50
7/20/2018,25058.12
7/23/2018,25044.29
7/24/2018,25241.94
7/25/2018,25414.10
7/26/2018,25527.07
7/27/2018,25451.06
7/30/2018,25306.83
7/31/2018,25415.19
8/1/2018,25333.82
8/2/2018,25326.16
8/3/2018,25462.58
8/6/2018,25502.18
8/7/2018,25628.91
8/8/2018,25583.75
8/9/2018,25509.23
8/10/2018,25313.14
8/13/2018,25187.70
8/14/2018,25299.92
8/15/2018,25162.41
8/16/2018,25558.73
8/17/2018,25669.32
8/20/2018,25758.69
8/21/2018,25822.29
8/22/2018,25733.60
8/23/2018,25656.98
8/24/2018,25790.35
8/27/2018,26049.64
8/28/2018,26064.02
8/29/2018,26124.57
8/30/2018,25986.92
8/31/2018,25964.82
9/3/2018,
9/4/2018,25952.48
9/5/2018,25974.99
9/6/2018,25995.87
9/7/2018,25916.54
9/10/2018,25857.07
9/11/2018,25971.06
9/12/2018,25998.92
9/13/2018,26145.99
9/14/2018,26154.67
9/17/2018,26062.12
9/18/2018,26246.96
9/19/2018,26405.76
9/20/2018,26656.98
9/21/2018,26743.50
9/24/2018,26562.05
9/25/2018,26492.21
9/26/2018,26385.28
9/27/2018,26439.93
9/28/2018,26458.31
10/1/2018,26651.21
10/2/2018,26773.94
10/3/2018,26828.39
10/4/2018,26627.48
10/5/2018,26447.05
10/8/2018,26486.78
10/9/2018,26430.57
10/10/2018,25598.74
10/11/2018,25052.83
10/12/2018,25339.99
10/15/2018,25250.55
10/16/2018,25798.42
10/17/2018,25706.68
10/18/2018,25379.45
10/19/2018,25444.34
10/22/2018,25317.41
10/23/2018,25191.43
10/24/2018,24583.42
10/25/2018,24984.55
10/26/2018,24688.31
10/29/2018,24442.92
10/30/2018,24874.64
10/31/2018,25115.76
11/1/2018,25380.74
11/2/2018,25270.83
11/5/2018,25461.70
11/6/2018,25635.01
11/7/2018,26180.30
11/8/2018,26191.22
11/9/2018,25989.30
11/12/2018,25387.18
11/13/2018,25286.49
11/14/2018,25080.50
11/15/2018,25289.27
11/16/2018,25413.22
11/19/2018,25017.44
11/20/2018,24465.64
11/21/2018,24464.69
11/22/2018,
11/23/2018,24285.95
11/26/2018,24640.24
11/27/2018,24748.73
11/28/2018,25366.43
11/29/2018,25338.84
11/30/2018,25538.46
12/3/2018,25826.43
12/4/2018,25027.07
12/5/2018,
12/6/2018,24947.67
12/7/2018,24388.95
12/10/2018,24423.26
12/11/2018,24370.24
12/12/2018,24527.27
12/13/2018,24597.38
12/14/2018,24100.51
12/17/2018,23592.98
12/18/2018,23675.64
12/19/2018,23323.66
12/20/2018,22859.60
12/21/2018,22445.37
12/24/2018,21792.20
12/25/2018,
12/26/2018,22878.45
12/27/2018,23138.82
12/28/2018,23062.40
12/31/2018,23327.46
1/1/2019,
1/2/2019,23346.24
1/3/2019,22686.22
1/4/2019,23433.16
1/7/2019,23531.35
1/8/2019,23787.45
1/9/2019,23879.12
1/10/2019,24001.92
1/11/2019,23995.95
1/14/2019,23909.84
1/15/2019,24065.59
1/16/2019,24207.16
1/17/2019,24370.10
1/18/2019,24706.35
1/21/2019,
1/22/2019,24404.48
1/23/2019,24575.62
1/24/2019,24553.24
1/25/2019,24737.20
1/28/2019,24528.22
1/29/2019,24579.96
1/30/2019,25014.86
1/31/2019,24999.67
2/1/2019,25063.89
2/4/2019,25239.37
2/5/2019,25411.52
2/6/2019,25390.30
2/7/2019,25169.53
2/8/2019,25106.33
2/11/2019,25053.11
2/12/2019,25425.76
2/13/2019,25543.27
2/14/2019,25439.39
2/15/2019,25883.25
2/18/2019,
2/19/2019,25891.32
2/20/2019,25954.44
2/21/2019,25850.63
2/22/2019,26031.81
2/25/2019,26091.95
2/26/2019,26057.98
2/27/2019,25985.16
2/28/2019,25916.00
3/1/2019,26026.32
3/4/2019,25819.65
3/5/2019,25806.63
3/6/2019,25673.46
3/7/2019,25473.23
3/8/2019,25450.24
3/11/2019,25650.88
3/12/2019,25554.66
3/13/2019,25702.89
3/14/2019,25709.94
3/15/2019,25848.87
3/18/2019,25914.10
3/19/2019,25887.38
3/20/2019,25745.67
3/21/2019,25962.51
3/22/2019,25502.32
3/25/2019,25516.83
