DATE,DCOILBRENTEU
5/8/2018,74.16
5/9/2018,77.6
5/10/2018,77.59
5/11/2018,77.37
5/14/2018,78.17
5/15/2018,78.94
5/16/2018,78.19
5/17/2018,80.09
5/18/2018,78.38
5/21/2018,78.34
5/22/2018,80.42
5/23/2018,78.69
5/24/2018,78.9
5/25/2018,76.6
5/28/2018,
5/29/2018,74.51
5/30/2018,75.89
5/31/2018,76.45
6/1/2018,74.54
6/4/2018,73.41
6/5/2018,72.91
6/6/2018,73.23
6/7/2018,75.23
6/8/2018,75.11
6/11/2018,74.58
6/12/2018,74.86
6/13/2018,75.07
6/14/2018,74.77
6/15/2018,72.02
6/18/2018,74.87
6/19/2018,74.92
6/20/2018,74.25
6/21/2018,72.87
6/22/2018,73.67
6/25/2018,72.82
6/26/2018,73.58
6/27/2018,76.09
6/28/2018,76.26
6/29/2018,77.44
7/2/2018,76.71
7/3/2018,75.87
7/4/2018,76.99
7/5/2018,77.09
7/6/2018,74.98
7/9/2018,77.08
7/10/2018,77.8
7/11/2018,75.35
7/12/2018,72.11
7/13/2018,74.11
7/16/2018,71.03
7/17/2018,70.87
7/18/2018,70.52
7/19/2018,71.94
7/20/2018,71.99
7/23/2018,73.45
7/24/2018,73.53
7/25/2018,73.67
7/26/2018,74.51
7/27/2018,74.84
7/30/2018,74.99
7/31/2018,74.16
8/1/2018,72.28
8/2/2018,72.95
8/3/2018,72.48
8/6/2018,72.51
8/7/2018,72.31
8/8/2018,70.71
8/9/2018,70.55
8/10/2018,71
8/13/2018,70.62
8/14/2018,70.77
8/15/2018,68.38
8/16/2018,69.21
8/17/2018,70.14
8/20/2018,71.11
8/21/2018,71.65
8/22/2018,72.96
8/23/2018,73.73
8/24/2018,74.41
8/27/2018,74.41
8/28/2018,75.91
8/29/2018,76.07
8/30/2018,77.05
8/31/2018,76.94
9/3/2018,77.81
9/4/2018,77.51
9/5/2018,76.68
9/6/2018,75.67
9/7/2018,75.55
9/10/2018,76.77
9/11/2018,78.22
9/12/2018,80.02
9/13/2018,77.66
9/14/2018,77.87
9/17/2018,78.22
9/18/2018,79.25
9/19/2018,79.43
9/20/2018,79.03
9/21/2018,78.9
9/24/2018,80.89
9/25/2018,82.21
9/26/2018,81.87
9/27/2018,81.54
9/28/2018,82.72
10/1/2018,84.94
10/2/2018,85.63
10/3/2018,85.45
10/4/2018,86.07
10/5/2018,85.12
10/8/2018,84.22
10/9/2018,85.16
10/10/2018,83.82
10/11/2018,81.35
10/12/2018,80.71
10/15/2018,80.91
10/16/2018,80.53
10/17/2018,79.91
10/18/2018,80.3
10/19/2018,80.38
10/22/2018,80.45
10/23/2018,78.67
10/24/2018,77.34
10/25/2018,77.3
10/26/2018,77.4
10/29/2018,77.56
10/30/2018,75.68
10/31/2018,74.84
11/1/2018,71.25
11/2/2018,71.11
11/5/2018,72.68
11/6/2018,70.64
11/7/2018,70.1
11/8/2018,69.29
11/9/2018,69.01
11/12/2018,69.81
11/13/2018,65.45
11/14/2018,64.88
11/15/2018,65.61
11/16/2018,65.29
11/19/2018,64.14
11/20/2018,61.5
11/21/2018,61.65
11/22/2018,61.11
11/23/2018,57.69
11/26/2018,59.7
11/27/2018,59.58
11/28/2018,57.97
11/29/2018,58.29
11/30/2018,57.71
12/3/2018,60.17
12/4/2018,61.22
12/5/2018,61.4
12/6/2018,57.83
12/7/2018,61.71
12/10/2018,60.29
12/11/2018,59.73
12/12/2018,59.94
12/13/2018,59.03
12/14/2018,58.56
12/17/2018,57.59
12/18/2018,55.26
12/19/2018,55.6
12/20/2018,52.84
12/21/2018,51.93
12/24/2018,
12/25/2018,
12/26/2018,
12/27/2018,51.49
12/28/2018,50.57
12/31/2018,
1/1/2019,
1/2/2019,54.06
1/3/2019,53.23
1/4/2019,55.64
1/7/2019,57.1
1/8/2019,56.91
1/9/2019,59.46
1/10/2019,60.47
1/11/2019,59.24
1/14/2019,58.8
1/15/2019,58.65
1/16/2019,59.81
1/17/2019,59.85
1/18/2019,62.04
1/21/2019,62.18
1/22/2019,60.9
1/23/2019,61.05
1/24/2019,61.09
1/25/2019,61.49
1/28/2019,59.71
1/29/2019,60.98
1/30/2019,61.89
1/31/2019,62.46
2/1/2019,61.86
2/4/2019,62.26
2/5/2019,61.67
2/6/2019,62.22
2/7/2019,61.01
2/8/2019,61.37
2/11/2019,61.3
2/12/2019,62.58
2/13/2019,63.27
2/14/2019,64
2/15/2019,65.65
2/18/2019,66.41
2/19/2019,65.86
2/20/2019,66.82
2/21/2019,66.91
2/22/2019,66.91
2/25/2019,64.02
2/26/2019,64.51
2/27/2019,65.55
2/28/2019,65.03
3/1/2019,63.71
3/4/2019,64.44
3/5/2019,64.24
3/6/2019,64.51
3/7/2019,64.82
3/8/2019,65.66
3/11/2019,65.06
3/12/2019,65.33
3/13/2019,65.89
3/14/2019,66.18
3/15/2019,66.11
3/18/2019,66.65
3/19/2019,67.13
3/20/2019,68.35
3/21/2019,68.3
3/22/2019,66.29
3/25/2019,67.37
3/26/2019,67.51
3/27/2019,67.35
3/28/2019,66.08
3/29/2019,67.93
4/1/2019,69.08
4/2/2019,69.68
4/3/2019,69.21
4/4/2019,69.8
4/5/2019,69.93
4/8/2019,71.12
4/9/2019,71.02
4/10/2019,71.63
4/11/2019,71.3
4/12/2019,71.57
4/15/2019,70.9
4/16/2019,70.74
4/17/2019,71.14
4/18/2019,70.71
4/19/2019,
4/22/2019,70.71
4/23/2019,74.39
4/24/2019,73.59
4/25/2019,74.94
4/26/2019,71.03
4/29/2019,71.22
4/30/2019,72.19
5/1/2019,72.01
5/2/2019,70.56
5/3/2019,71.95
5/6/2019,71.95
5/7/2019,70.98
5/8/2019,71.09
5/9/2019,70.61
5/10/2019,71.63
5/13/2019,72.35
5/14/2019,72.53
5/15/2019,73.09
5/16/2019,74.7
5/17/2019,73.94
5/20/2019,73.21
5/21/2019,72.94
5/22/2019,71.94
5/23/2019,68.37
5/24/2019,67.98
5/27/2019,
5/28/2019,70.19
5/29/2019,70.64
5/30/2019,69.55
5/31/2019,66.78
6/3/2019,63.16
6/4/2019,63.56
6/5/2019,62.14
6/6/2019,62.77
6/7/2019,64.1
6/10/2019,64.31
6/11/2019,63.56
6/12/2019,61.66
6/13/2019,63.28
6/14/2019,63.13
6/17/2019,62.56
6/18/2019,63.35
6/19/2019,62.85
6/20/2019,65.44
6/21/2019,65.99
6/24/2019,65.16
6/25/2019,66.24
6/26/2019,66.85
6/27/2019,66.78
6/28/2019,67.52
7/1/2019,65.1
7/2/2019,62.72
7/3/2019,63.53
7/4/2019,63.62
7/5/2019,64.23
7/8/2019,64.89
7/9/2019,64.3
7/10/2019,66.41
7/11/2019,67.64
7/12/2019,66.65
7/15/2019,66.86
7/16/2019,65.87
7/17/2019,63.67
7/18/2019,60.7
7/19/2019,61.04
7/22/2019,61.96
7/23/2019,62.28
7/24/2019,63.83
7/25/2019,63.47
7/26/2019,62.46
7/29/2019,62.29
7/30/2019,62.55
7/31/2019,64.07
8/1/2019,62.9
8/2/2019,61.12
8/5/2019,59.32
8/6/2019,58.63
8/7/2019,55.03
8/8/2019,56.29
8/9/2019,57.37
8/12/2019,57.13
8/13/2019,59.9
8/14/2019,57.86
8/15/2019,57.37
8/16/2019,59
8/19/2019,59.79
8/20/2019,59.03
8/21/2019,60.6
8/22/2019,59.81
8/23/2019,58.64
8/26/2019,58.64
8/27/2019,58.44
8/28/2019,60.42
8/29/2019,60.59
8/30/2019,61.04
9/2/2019,58.55
9/3/2019,57.93
9/4/2019,60.68
9/5/2019,62.7
9/6/2019,61.28
9/9/2019,63.99
9/10/2019,64.67
9/11/2019,63.02
9/12/2019,60.76
9/13/2019,61.25
9/16/2019,68.42
9/17/2019,65.59
9/18/2019,64.29
9/19/2019,64.25
9/20/2019,65.23
9/23/2019,64.66
9/24/2019,64.13
9/25/2019,62.41
9/26/2019,62.08
9/27/2019,62.48
9/30/2019,60.99
10/1/2019,60.06
10/2/2019,57.92
10/3/2019,58.01
10/4/2019,59.13
10/7/2019,59.46
10/8/2019,58.14
10/9/2019,59.7
10/10/2019,59.08
10/11/2019,60.59
10/14/2019,58.81
10/15/2019,59.19
10/16/2019,59.3
10/17/2019,59.35
10/18/2019,59.96
10/21/2019,58.95
10/22/2019,60.5
10/23/2019,60.52
10/24/2019,61.71
10/25/2019,62.06
10/28/2019,60.39
10/29/2019,61.05
10/30/2019,60.22
10/31/2019,59.3
11/1/2019,60.17
11/4/2019,62.52
11/5/2019,62.72
11/6/2019,62.11
11/7/2019,62.6
11/8/2019,62
11/11/2019,62.58
11/12/2019,62.19
11/13/2019,62.27
11/14/2019,62.46
11/15/2019,63.32
11/18/2019,62.82
11/19/2019,62.37
11/20/2019,63.8
11/21/2019,64.99
11/22/2019,64.83
11/25/2019,64.67
11/26/2019,64.82
11/27/2019,65.03
11/28/2019,64.68
11/29/2019,64.5
12/2/2019,63.2
12/3/2019,62.95
12/4/2019,65.25
12/5/2019,65.67
12/6/2019,66.5
12/9/2019,66.44
12/10/2019,66.57
12/11/2019,65.37
12/12/2019,66.67
12/13/2019,67.44
12/16/2019,68.04
12/17/2019,68.99
12/18/2019,69.12
12/19/2019,69.7
12/20/2019,68.66
12/23/2019,67.49
12/24/2019,69.26
12/25/2019,
12/26/2019,69.26
12/27/2019,68.91
12/30/2019,68.3
12/31/2019,67.77
1/1/2020,
1/2/2020,67.05
1/3/2020,69.08
1/6/2020,70.25
1/7/2020,68.74
1/8/2020,67.31
1/9/2020,66.58
1/10/2020,66.77
1/13/2020,64.14
1/14/2020,64.45
1/15/2020,63.29
1/16/2020,64.63
1/17/2020,64.05
1/20/2020,64.63
1/21/2020,63.66
1/22/2020,62.11
1/23/2020,61.26
1/24/2020,59.34
1/27/2020,58.54
1/28/2020,59.37
1/29/2020,59.46
1/30/2020,57.72
1/31/2020,57.77
2/3/2020,54
2/4/2020,53.9
2/5/2020,55.36
2/6/2020,55.18
2/7/2020,54.53
2/10/2020,53.39
2/11/2020,54
2/12/2020,55.54
2/13/2020,56.34
2/14/2020,57.37
2/17/2020,57.83
2/18/2020,57.35
2/19/2020,59.72
2/20/2020,59.57
2/21/2020,58.6
2/24/2020,56.71
2/25/2020,55.29
2/26/2020,54.96
2/27/2020,52.19
2/28/2020,51.31
3/2/2020,52.52
3/3/2020,52.24
3/4/2020,51.86
3/5/2020,51.29
3/6/2020,45.6
3/9/2020,35.33
3/10/2020,35.57
3/11/2020,34.45
3/12/2020,31.02
3/13/2020,32.25
3/16/2020,27.98
3/17/2020,27.97
3/18/2020,22.79
3/19/2020,23.98
3/20/2020,25.55
3/23/2020,23.75
3/24/2020,24.5
3/25/2020,25.62
3/26/2020,23.55
3/27/2020,22.39
3/30/2020,19.19
3/31/2020,14.85
4/1/2020,14.97
4/2/2020,20.24
4/3/2020,24.33
4/6/2020,22.58
4/7/2020,22.1
4/8/2020,25.22
4/9/2020,20.23
4/10/2020,
4/13/2020,
4/14/2020,21.74
4/15/2020,19.8
4/16/2020,18.69
4/17/2020,19.75
4/20/2020,17.36
4/21/2020,9.12
4/22/2020,13.77
4/23/2020,15.06
4/24/2020,15.87
4/27/2020,15.17
4/28/2020,15.6
4/29/2020,17.86
4/30/2020,18.11
5/1/2020,18.49
5/4/2020,20.4
5/5/2020,25.46
5/6/2020,24.2
5/7/2020,24.23
5/8/2020,
5/11/2020,25.53
5/12/2020,26.67
5/13/2020,27.89
5/14/2020,29.87
5/15/2020,30.95
5/18/2020,33.3
5/19/2020,33.06
5/20/2020,34.76
5/21/2020,34.78
5/22/2020,33.8
5/25/2020,
5/26/2020,33.95
5/27/2020,32.73
5/28/2020,33.98
5/29/2020,34.15
6/1/2020,36.74
6/2/2020,37.72
6/3/2020,37.98
6/4/2020,38.41
6/5/2020,41
6/8/2020,39.66
6/9/2020,40.45
6/10/2020,41.18
6/11/2020,37.76
6/12/2020,38.54
6/15/2020,39.44
6/16/2020,40.75
6/17/2020,40.47
6/18/2020,41.75
6/19/2020,42.33
6/22/2020,43.2
6/23/2020,42.72
6/24/2020,40.4
6/25/2020,41.18
6/26/2020,40.97
6/29/2020,41.58
6/30/2020,41.64
7/1/2020,42.18
7/2/2020,43.19
7/3/2020,42.92
7/6/2020,42.73
7/7/2020,43.28
7/8/2020,43.67
7/9/2020,42.35
7/10/2020,43.27
7/13/2020,42.85
7/14/2020,42.97
7/15/2020,43.96
7/16/2020,43.71
7/17/2020,43.53
7/20/2020,43.3
7/21/2020,44.31
7/22/2020,43.98
7/23/2020,42.96
7/24/2020,43.29
7/27/2020,43.39
7/28/2020,43.11
7/29/2020,43.51
7/30/2020,42.98
7/31/2020,43.13
8/3/2020,43.76
8/4/2020,43.99
8/5/2020,44.92
8/6/2020,45.04
8/7/2020,44.07
8/10/2020,44.19
8/11/2020,43.68
8/12/2020,45.09
8/13/2020,44.87
8/14/2020,44.86
8/17/2020,44.91
8/18/2020,45.34
8/19/2020,45.21
8/20/2020,44.56
8/21/2020,43.94
8/24/2020,44.43
8/25/2020,46.01
8/26/2020,45.79
8/27/2020,44.84
8/28/2020,45.22
8/31/2020,
9/1/2020,45.72
9/2/2020,42.7
9/3/2020,42.72
9/4/2020,41.1
9/7/2020,40.67
9/8/2020,38.53
9/9/2020,39.98
9/10/2020,39.27
9/11/2020,38.8
9/14/2020,38.57
9/15/2020,39.54
9/16/2020,41.23
9/17/2020,42.35
9/18/2020,42.16
9/21/2020,40.37
9/22/2020,40.84
9/23/2020,41.09
9/24/2020,41.24
9/25/2020,40.91
9/28/2020,41.59
9/29/2020,40.33
9/30/2020,40.3
10/1/2020,39.75
10/2/2020,38
10/5/2020,39.78
10/6/2020,41.27
10/7/2020,40.62
10/8/2020,42
10/9/2020,41.63
10/12/2020,40.5
10/13/2020,41.34
10/14/2020,41.81
10/15/2020,41.61
10/16/2020,41.34
10/19/2020,41.29
10/20/2020,41.62
10/21/2020,40.09
10/22/2020,41.28
10/23/2020,40.71
10/26/2020,39.06
10/27/2020,39.72
10/28/2020,37.86
10/29/2020,36.56
10/30/2020,36.33
11/2/2020,37.78
11/3/2020,38.17
11/4/2020,39.68
11/5/2020,39.47
11/6/2020,38.08
11/9/2020,40.93
11/10/2020,42.25
11/11/2020,42.5
11/12/2020,42.16
11/13/2020,41.51
11/16/2020,42.71
11/17/2020,42.54
11/18/2020,42.91
11/19/2020,43.09
11/20/2020,43.79
11/23/2020,45
11/24/2020,46.63
11/25/2020,47.3
11/26/2020,46.32
11/27/2020,46.88
11/30/2020,46.84
12/1/2020,47.03
12/2/2020,47.8
