DATE,DFF
5/7/2018,1.7
5/8/2018,1.7
5/9/2018,1.7
5/10/2018,1.7
5/11/2018,1.7
5/12/2018,1.7
5/13/2018,1.7
5/14/2018,1.7
5/15/2018,1.7
5/16/2018,1.7
5/17/2018,1.7
5/18/2018,1.7
5/19/2018,1.7
5/20/2018,1.7
5/21/2018,1.7
5/22/2018,1.7
5/23/2018,1.7
5/24/2018,1.7
5/25/2018,1.7
5/26/2018,1.7
5/27/2018,1.7
5/28/2018,1.7
5/29/2018,1.7
5/30/2018,1.7
5/31/2018,1.7
6/1/2018,1.7
6/2/2018,1.7
6/3/2018,1.7
6/4/2018,1.7
6/5/2018,1.7
6/6/2018,1.7
6/7/2018,1.7
6/8/2018,1.7
6/9/2018,1.7
6/10/2018,1.7
6/11/2018,1.7
6/12/2018,1.7
6/13/2018,1.7
6/14/2018,1.9
6/15/2018,1.9
6/16/2018,1.9
6/17/2018,1.9
6/18/2018,1.9
6/19/2018,1.91
6/20/2018,1.92
6/21/2018,1.92
6/22/2018,1.92
6/23/2018,1.92
6/24/2018,1.92
6/25/2018,1.92
6/26/2018,1.92
6/27/2018,1.91
6/28/2018,1.91
6/29/2018,1.91
6/30/2018,1.91
7/1/2018,1.91
7/2/2018,1.91
7/3/2018,1.91
7/4/2018,1.91
7/5/2018,1.91
7/6/2018,1.91
7/7/2018,1.91
7/8/2018,1.91
7/9/2018,1.91
7/10/2018,1.91
7/11/2018,1.91
7/12/2018,1.91
7/13/2018,1.91
7/14/2018,1.91
7/15/2018,1.91
7/16/2018,1.91
7/17/2018,1.91
7/18/2018,1.91
7/19/2018,1.91
7/20/2018,1.91
7/21/2018,1.91
7/22/2018,1.91
7/23/2018,1.91
7/24/2018,1.91
7/25/2018,1.91
7/26/2018,1.91
7/27/2018,1.91
7/28/2018,1.91
7/29/2018,1.91
7/30/2018,1.91
7/31/2018,1.91
8/1/2018,1.91
8/2/2018,1.91
8/3/2018,1.91
8/4/2018,1.91
8/5/2018,1.91
8/6/2018,1.91
8/7/2018,1.91
8/8/2018,1.91
8/9/2018,1.91
8/10/2018,1.91
8/11/2018,1.91
8/12/2018,1.91
8/13/2018,1.91
8/14/2018,1.91
8/15/2018,1.91
8/16/2018,1.92
8/17/2018,1.92
8/18/2018,1.92
8/19/2018,1.92
8/20/2018,1.92
8/21/2018,1.92
8/22/2018,1.92
8/23/2018,1.92
8/24/2018,1.92
8/25/2018,1.92
8/26/2018,1.92
8/27/2018,1.92
8/28/2018,1.92
8/29/2018,1.92
8/30/2018,1.92
8/31/2018,1.91
9/1/2018,1.91
9/2/2018,1.91
9/3/2018,1.91
9/4/2018,1.92
9/5/2018,1.92
9/6/2018,1.92
9/7/2018,1.92
9/8/2018,1.92
9/9/2018,1.92
9/10/2018,1.92
9/11/2018,1.92
9/12/2018,1.92
9/13/2018,1.92
9/14/2018,1.92
9/15/2018,1.92
9/16/2018,1.92
9/17/2018,1.92
9/18/2018,1.92
9/19/2018,1.92
9/20/2018,1.92
9/21/2018,1.92
9/22/2018,1.92
9/23/2018,1.92
9/24/2018,1.93
9/25/2018,1.93
9/26/2018,1.93
9/27/2018,2.18
9/28/2018,2.18
9/29/2018,2.18
9/30/2018,2.18
10/1/2018,2.18
10/2/2018,2.18
10/3/2018,2.18
10/4/2018,2.18
10/5/2018,2.18
10/6/2018,2.18
10/7/2018,2.18
10/8/2018,2.18
10/9/2018,2.18
10/10/2018,2.18
10/11/2018,2.18
10/12/2018,2.18
10/13/2018,2.18
